tweet_id,retweet_count,favorite_count
892420643555336193,7536,35569
892177421306343426,5589,30754
891815181378084864,3703,23133
891689557279858688,7717,38868
891327558926688256,8316,37126
891087950875897856,2790,18723
890971913173991426,1811,10878
890729181411237888,16863,59957
890609185150312448,3843,25749
890240255349198849,6552,29390
890006608113172480,6550,28330
889880896479866881,4461,25750
889665388333682689,8939,44304
889638837579907072,3999,24930
889531135344209921,2019,13998
889278841981685760,4767,23266
888917238123831296,4013,26859
888804989199671297,3780,23573
888554962724278272,3094,18206
888078434458587136,3102,20106
887705289381826560,4824,27953
887517139158093824,10543,42795
887473957103951883,16093,63402
887343217045368832,9388,31076
887101392804085760,5338,28283
886983233522544640,6848,32177
886736880519319552,2860,11047
886680336477933568,4005,20773
886366144734445568,2832,19503
886267009285017600,4,110
886258384151887873,5651,25836
886054160059072513,99,0
885984800019947520,6013,30050
885528943205470208,5718,33168
885518971528720385,3338,18895
885311592912609280,16531,0
885167619883638784,3903,20171
884925521741709313,16129,71052
884876753390489601,4985,25661
884562892145688576,4204,22437
884441805382717440,5091,24990
884247878851493888,18156,66935
884162670584377345,2676,18839
883838122936631299,3064,20166
883482846933004288,8836,42274
883360690899218434,3304,20914
883117836046086144,5953,34238
882992080364220416,3477,22038
882762694511734784,4372,26070
882627270321602560,5433,25872
882268110199369728,10350,41369
882045870035918850,4354,27066
881906580714921986,3044,22480
881666595344535552,9551,46767
881633300179243008,7,115
881536004380872706,14317,45662
881268444196462592,4733,21473
880935762899988482,2504,15800
880872448815771648,3430,19665
880465832366813184,5554,26278
880221127280381952,3725,24885
880095782870896641,3890,25515
879862464715927552,3120,20672
879674319642796034,10,291
879492040517615616,2853,21699
879415818425184262,39888,97680
879376492567855104,2805,15556
879130579576475649,6094,0
879050749262655488,4215,20834
879008229531029506,2400,17576
878776093423087618,3666,17903
878604707211726852,6342,27800
878404777348136964,1148,0
878316110768087041,5949,0
878281511006478336,1148,7138
878057613040115712,6094,38919
877736472329191424,16968,73204
877611172832227328,71,0
877556246731214848,3414,20982
877316821321428993,4670,25387
877201837425926144,5000,25059
876838120628539392,2991,19158
876537666061221889,4214,21946
876484053909872640,2124,17390
876120275196170240,4192,25918
875747767867523072,3833,23243
875144289856114688,4412,20314
875097192612077568,5474,25429
875021211251597312,4239,23628
874680097055178752,4172,25779
874434818259525634,13075,0
874296783580663808,3712,24153
874057562936811520,3590,21073
874012996292530176,9210,31732
873580283840344065,3556,22471
873337748698140672,1426,0
873213775632977920,1426,6642
872967104147763200,4885,25300
872820683541237760,3361,13690
872620804844003328,3286,19253
872486979161796608,8174,37856
872122724285648897,7316,31851
871879754684805121,9893,34891
871762521631449091,3154,18800
871515927908634625,3147,18763
871166179821445120,5181,0
871102520638267392,4995,19470
871032628920680449,3461,21178
870804317367881728,5625,31350
870726314365509632,3,113
870656317836468226,2380,11491
870374049280663552,24134,77402
870308999962521604,3767,20440
870063196459192321,7558,34066
869772420881756160,9231,39729
869702957897576449,5737,26349
869596645499047938,2839,14916
869227993411051520,3436,19082
868880397819494401,13143,61045
868639477480148993,1886,0
868622495443632128,4825,24903
868552278524837888,1886,9419
867900495410671616,3823,22655
867774946302451713,6712,31783
867421006826221569,2280,15065
867072653475098625,110,0
867051520902168576,7231,30152
866720684873056260,4394,18748
866686824827068416,3189,18047
866450705531457537,32324,114546
866334964761202691,13075,49058
866094527597207552,7694,0
865718153858494464,5173,24108
865359393868664832,4593,24841
865006731092295680,7085,26304
864873206498414592,7988,30300
864279568663928832,2772,13705
864197398364647424,8136,28148
863907417377173506,3818,19372
863553081350529029,3863,14358
863471782782697472,2240,0
863432100342583297,4831,22368
863427515083354112,89,2080
863079547188785154,1026,8263
863062471531167744,2240,7944
862831371563274240,4758,18045
862722525377298433,3276,16122
862457590147678208,4552,19233
862096992088072192,21425,69899
861383897657036800,9912,34016
861288531465048066,3830,16184
861005113778896900,3542,15749
860981674716409858,1992,0
860924035999428608,741,0
860563773140209665,1992,7088
860524505164394496,4930,22348
860276583193509888,3267,17393
860184849394610176,5438,15754
860177593139703809,28746,0
859924526012018688,3827,18555
859851578198683649,3275,14619
859607811541651456,1448,17639
859196978902773760,28100,85088
859074603037188101,12714,32039
858860390427611136,7573,0
858843525470990336,3247,14806
858471635011153920,4543,20437
858107933456039936,2711,14961
857989990357356544,2428,15258
857746408056729600,9967,32546
857393404942143489,1545,5594
857263160327368704,4253,19102
857214891891077121,17,214
857062103051644929,157,0
857029823797047296,3739,17951
856543823941562368,2711,15593
856526610513747968,1771,11319
856330835276025856,631,0
856288084350160898,15,491
856282028240666624,5924,26471
855862651834028034,24,321
855860136149123072,925,4679
855857698524602368,1992,11338
855851453814013952,17078,43782
855818117272018944,5130,25500
855459453768019968,7779,28487
855245323840757760,5627,0
855138241867124737,43,0
854732716440526848,5747,21786
854482394044301312,6480,28038
854365224396361728,4451,18112
854120357044912130,7088,30701
854010172552949760,2996,15602
853760880890318849,5471,27453
853639147608842240,9531,33329
853299958564483072,3394,14900
852936405516943360,1894,0
852912242202992640,1721,8681
852672615818899456,2060,14375
852553447878664193,3315,15718
852311364735569921,9505,31956
852226086759018497,6555,19319
852189679701164033,1523,11081
851861385021730816,19,0
851591660324737024,3323,15724
851464819735769094,6770,23462
851224888060895234,5511,20025
850753642995093505,8725,29791
850380195714523136,2499,12704
850333567704068097,315,3352
850145622816686080,3644,15833
850019790995546112,4681,19788
849776966551130114,7296,29465
849668094696017920,4764,0
849412302885593088,3031,15406
849336543269576704,1826,11101
849051919805034497,8152,41126
848690551926992896,4171,24480
848324959059550208,4465,24031
848213670039564288,699,7942
848212111729840128,2918,15877
847978865427394560,3149,0
847971574464610304,420,0
847962785489326080,4895,22892
847842811428974592,1280,5289
847617282490613760,401,6799
847606175596138505,3319,18280
847251039262605312,4183,19980
847157206088847362,5668,19365
847116187444137987,3081,20923
846874817362120707,3794,19577
